Game,Avg. Score,Wins,Draws,Losses,Deal-Ins
RND,0.0023,8.19%,75.52%,5.79%,10.50%
RND,-0.0018,8.15%,75.52%,5.82%,10.51%
RND,-0.0006,8.17%,75.52%,5.79%,10.52%
RB,1.4342,23.83%,61.28%,5.38%,9.51%
RND,-0.7120,7.49%,61.28%,12.37%,18.87%
RND,-0.7223,7.49%,61.28%,12.27%,18.96%
RB,0.6546,21.57%,50.14%,11.25%,17.04%
RB,0.6376,21.55%,50.14%,11.22%,17.10%
RND,-1.2832,6.98%,50.14%,17.21%,25.68%
RB,0.0045,19.65%,41.52%,15.68%,23.15%
RB,-0.0006,19.63%,41.52%,15.70%,23.15%
RB,-0.0039,19.59%,41.52%,15.67%,23.22%
DL,1.6221,31.23%,54.51%,5.32%,8.94%
RND,-0.8120,7.18%,54.51%,13.84%,24.46%
RND,-0.8101,7.19%,54.51%,13.81%,24.49%
DL,0.8687,28.55%,44.17%,10.97%,16.31%
RB,0.5051,20.91%,44.17%,12.65%,22.28%
RND,-1.3738,6.64%,44.17%,18.66%,30.54%
DL,0.2648,26.39%,36.65%,14.68%,22.28%
RB,-0.1270,18.70%,36.65%,17.15%,27.50%
RB,-0.1378,18.71%,36.65%,17.02%,27.62%
DL,0.8337,24.84%,44.36%,13.46%,17.34%
DL,0.8279,24.77%,44.36%,13.52%,17.36%
RND,-1.6616,6.48%,44.36%,10.52%,38.64%
DL,0.1940,22.74%,36.02%,17.77%,23.47%
DL,0.1924,22.69%,36.02%,17.78%,23.51%
RB,-0.3864,19.11%,36.02%,9.76%,35.12%
PPO,0.1868,22.62%,36.08%,17.74%,23.57%
DL,0.1934,22.80%,36.08%,17.60%,23.52%
RB,-0.3802,19.07%,36.08%,9.98%,34.87%
DL,0.0053,19.39%,42.22%,11.19%,27.20%
PPO,-0.0048,19.37%,42.22%,11.00%,27.41%
PPO,-0.0005,19.45%,42.22%,10.98%,27.35%
DL,-0.0027,19.20%,42.81%,10.79%,27.20%
DL,0.0062,19.25%,42.81%,10.77%,27.17%
DL,-0.0035,19.17%,42.81%,10.75%,27.27%
PPO,1.6002,30.92%,54.70%,5.38%,9.00%
RND,-0.7977,7.27%,54.70%,13.69%,24.33%
RND,-0.8025,7.22%,54.70%,13.77%,24.31%
PPO,0.8553,28.29%,44.44%,11.04%,16.24%
RB,0.5187,20.90%,44.44%,12.57%,22.08%
RND,-1.3740,6.63%,44.44%,18.54%,30.39%
PPO,0.2469,26.09%,36.80%,14.79%,22.33%
RB,-0.1234,18.76%,36.80%,17.02%,27.41%
RB,-0.1235,18.80%,36.80%,16.97%,27.43%
PPO,0.8123,24.73%,44.47%,13.33%,17.48%
PPO,0.8177,24.80%,44.47%,13.29%,17.44%
RND,-1.6300,6.44%,44.47%,11.03%,38.06%
PPO,0.1930,22.82%,36.06%,17.56%,23.57%
PPO,0.1868,22.68%,36.06%,17.68%,23.58%
RB,-0.3797,19.00%,36.06%,10.13%,34.82%
PPO,0.8193,24.64%,44.52%,13.43%,17.41%
DL,0.8246,24.85%,44.52%,13.28%,17.35%
RND,-1.6439,6.43%,44.52%,10.78%,38.27%
PPO,0.0050,19.38%,42.56%,10.77%,27.30%
DL,-0.0029,19.27%,42.56%,10.93%,27.24%
DL,-0.0021,19.25%,42.56%,10.97%,27.23%
PPO,0.0067,19.51%,42.06%,11.15%,27.28%
PPO,-0.0018,19.44%,42.06%,11.15%,27.34%
PPO,-0.0050,19.44%,42.06%,11.16%,27.34%